,BER bits
0,0.325406
1,0.252776
2,0.252406
3,0.16793
4,0.2523805
5,0.168343
6,0.1678535
7,0.0862795
8,0.25197
9,0.1681035
10,0.1684005
11,0.08616
12,0.1682325
13,0.084838
14,0.086305
15,0.0265375
16,0.252004
17,0.172234
18,0.168741
19,0.087802
20,0.17206
21,0.087816
22,0.086138
23,0.0269355
24,0.1680605
25,0.0863935
26,0.0849505
27,0.0267275
28,0.087311
29,0.027299
30,0.0271175
31,0.003253
32,0.2528775
33,0.16797
34,0.167905
35,0.0847295
36,0.167772
37,0.0851205
38,0.08626
39,0.0269775
40,0.168276
41,0.085
42,0.0864455
43,0.02672
44,0.0851105
45,0.026213
46,0.026881
47,0.003293
48,0.1680255
49,0.086508
50,0.085264
51,0.026306
52,0.087867
53,0.0271225
54,0.0268145
55,0.003276
56,0.086174
57,0.0265665
58,0.026193
59,0.0030885
60,0.026992
61,0.0032495
62,0.0033
63,8.05e-05
64,0.252246
65,0.167994
66,0.167901
67,0.085269
68,0.168155
69,0.0851315
70,0.085019
71,0.026245
72,0.16888
73,0.086083
74,0.085109
75,0.0268215
76,0.085074
77,0.02677
78,0.025699
79,0.0033125
80,0.1684825
81,0.086292
82,0.0849785
83,0.0261605
84,0.0863975
85,0.0266805
86,0.026256
87,0.003192
88,0.085209
89,0.0263395
90,0.0262345
91,0.0031885
92,0.026496
93,0.0032975
94,0.003206
95,7e-05
96,0.16832
97,0.084841
98,0.0853085
99,0.025833
100,0.085199
101,0.0256795
102,0.0260635
103,0.003123
104,0.085149
105,0.0261685
106,0.0265145
107,0.003302
108,0.026294
109,0.0031545
110,0.003342
111,7.15e-05
112,0.0851635
113,0.0263845
114,0.026084
115,0.0032495
116,0.026383
117,0.0033
118,0.003157
119,7.6e-05
120,0.025958
121,0.0031905
122,0.003144
123,5.55e-05
124,0.003144
125,6.1e-05
126,8.55e-05
127,0.0
