,BER bits
0,0.49964675
1,0.50000525
2,0.4996725
3,0.499605
4,0.49987875
5,0.499694
6,0.50015
7,0.49863975
8,0.50005375
9,0.500108
10,0.499895
11,0.4980395
12,0.499714
13,0.49744275
14,0.49600175
15,0.443998
16,0.500342
17,0.50011925
18,0.49998775
19,0.495571
20,0.50012275
21,0.49408925
22,0.49049675
23,0.41330925
24,0.49957325
25,0.488463
26,0.482878
27,0.383942
28,0.474164
29,0.35566025
30,0.32041225
31,0.1318885
32,0.49980975
33,0.49979075
34,0.50001025
35,0.48855
36,0.499788
37,0.484464
38,0.47739025
39,0.3666105
40,0.498867
41,0.4730285
42,0.46123525
43,0.323972
44,0.444511
45,0.28879975
46,0.24969325
47,0.08177725
48,0.494456
49,0.44473975
50,0.4224715
51,0.2528635
52,0.39676875
53,0.21445225
54,0.17280925
55,0.042575
56,0.34693625
57,0.15907
58,0.1208475
59,0.02338125
60,0.091695
61,0.0143275
62,0.00858325
63,0.000338
64,0.5003085
65,0.499131
66,0.49775625
67,0.4643615
68,0.49673125
69,0.45359775
70,0.43503425
71,0.2731855
72,0.49218925
73,0.4261555
74,0.39983875
75,0.2201805
76,0.36964425
77,0.1825755
78,0.142923
79,0.03108775
80,0.4777535
81,0.37066425
82,0.33511225
83,0.149385
84,0.2959165
85,0.11546575
86,0.08495225
87,0.0132085
88,0.23460975
89,0.0744395
90,0.05097625
91,0.006005
92,0.036045
93,0.0032965
94,0.00176475
95,4.25e-05
96,0.44710475
97,0.294854
98,0.25106075
99,0.08509675
100,0.21009925
101,0.060594
102,0.04089425
103,0.00419825
104,0.15542825
105,0.03496875
106,0.02269525
107,0.00165225
108,0.014938
109,0.00081475
110,0.0004375
111,2.75e-06
112,0.0973665
113,0.0157595
114,0.008945
115,0.000414
116,0.00643625
117,0.00021525
118,9.75e-05
119,1e-06
120,0.00341775
121,7.425e-05
122,3.05e-05
123,0.0
124,2.125e-05
125,0.0
126,0.0
127,0.0
