,BER bits
0,0.33538015
1,0.28015315
2,0.28005485
3,0.2165386
4,0.27984105
5,0.21628865
6,0.2162915
7,0.1528682
8,0.2802049
9,0.21636615
10,0.21634635
11,0.1528948
12,0.2161454
13,0.15290935
14,0.15290715
15,0.10436225
16,0.2800372
17,0.2164758
18,0.2164649
19,0.1529312
20,0.2162813
21,0.1529138
22,0.15288035
23,0.10511415
24,0.21633615
25,0.15297985
26,0.15285275
27,0.10556715
28,0.1534481
29,0.10560875
30,0.1005826
31,0.131233
32,0.2799561
33,0.2162753
34,0.2165283
35,0.15287425
36,0.2165252
37,0.15269705
38,0.15282055
39,0.1048965
40,0.21618195
41,0.15279625
42,0.15286445
43,0.10508035
44,0.15295135
45,0.1051703
46,0.099913
47,0.13127035
48,0.2168613
49,0.153646
50,0.1535025
51,0.1058818
52,0.1534509
53,0.10509785
54,0.09983135
55,0.1277787
56,0.1549392
57,0.10679275
58,0.1009118
59,0.12082595
60,0.10231615
61,0.1102144
62,0.0630884
63,0.1121959
64,0.28101205
65,0.2193809
66,0.2195507
67,0.1569788
68,0.2194743
69,0.1568273
70,0.156763
71,0.10916555
72,0.2193155
73,0.15681585
74,0.15683745
75,0.10970635
76,0.1570372
77,0.10978075
78,0.10469035
79,0.1305734
80,0.2189939
81,0.15682375
82,0.1567707
83,0.10868965
84,0.1568001
85,0.10873885
86,0.1036055
87,0.12446815
88,0.1573017
89,0.10936505
90,0.10371365
91,0.1158725
92,0.1042814
93,0.1046745
94,0.06456885
95,0.09350755
96,0.21858865
97,0.1604331
98,0.16023115
99,0.11474045
100,0.16032835
101,0.11418595
102,0.10824245
103,0.1232538
104,0.15939945
105,0.1116683
106,0.10718955
107,0.1082749
108,0.1061797
109,0.0971692
110,0.06621655
111,0.07696825
112,0.1541842
113,0.11872375
114,0.1097505
115,0.1083325
116,0.10682595
117,0.0849513
118,0.06714065
119,0.06291515
120,0.0976422
121,0.09150265
122,0.06687615
123,0.0517148
124,0.0565821
125,0.0437373
126,0.03080655
127,0.01679155
