,BER bits
0,19.782612903225807
1,15.419387096774194
2,15.42041935483871
3,10.220935483870967
4,15.406032258064515
5,10.231741935483871
6,10.250967741935483
7,5.092483870967742
8,15.415903225806451
9,10.22532258064516
10,10.222967741935484
11,5.101387096774194
12,10.216193548387096
13,5.099483870967742
14,5.115193548387097
15,1.4886774193548387
16,15.426483870967742
17,10.21358064516129
18,10.231967741935485
19,5.123129032258064
20,10.217903225806452
21,5.107967741935484
22,5.072064516129032
23,1.4803548387096774
24,10.248290322580646
25,5.096645161290323
26,5.117387096774194
27,1.4761935483870967
28,5.098516129032258
29,1.485741935483871
30,1.494225806451613
31,0.15593548387096773
32,15.409645161290323
33,10.219354838709677
34,10.264935483870968
35,5.084225806451613
36,10.219903225806451
37,5.07341935483871
38,5.101935483870967
39,1.491290322580645
40,10.245870967741935
41,5.090741935483871
42,5.1087741935483875
43,1.4836451612903225
44,5.094838709677419
45,1.4970322580645161
46,1.4900645161290322
47,0.15441935483870967
48,10.240741935483872
49,5.093806451612903
50,5.102354838709678
51,1.4860645161290322
52,5.109870967741935
53,1.4901612903225807
54,1.4962903225806452
55,0.16003225806451613
56,5.122580645161291
57,1.4901290322580645
58,1.4925806451612904
59,0.15735483870967742
60,1.4973870967741936
61,0.15883870967741937
62,0.15812903225806452
63,0.0024516129032258064
64,15.417838709677419
65,10.235548387096774
66,10.216903225806451
67,5.118677419354839
68,10.23532258064516
69,5.0889354838709675
70,5.094967741935484
71,1.482483870967742
72,10.179967741935483
73,5.107096774193549
74,5.076290322580645
75,1.491483870967742
76,5.118387096774193
77,1.4968387096774194
78,1.5070967741935484
79,0.15725806451612903
80,10.26774193548387
81,5.095225806451613
82,5.091709677419355
83,1.4818064516129033
84,5.087645161290323
85,1.4941612903225807
86,1.4865483870967742
87,0.15664516129032258
88,5.100161290322581
89,1.4932258064516128
90,1.484483870967742
91,0.1539032258064516
92,1.4990322580645161
93,0.1539032258064516
94,0.15583870967741936
95,0.0022580645161290325
96,10.236548387096775
97,5.100193548387097
98,5.1087741935483875
99,1.4801612903225807
100,5.104645161290323
101,1.4979677419354838
102,1.4933870967741936
103,0.15780645161290321
104,5.088838709677419
105,1.487483870967742
106,1.4986129032258064
107,0.1557741935483871
108,1.5000967741935485
109,0.15174193548387097
110,0.15364516129032257
111,0.0017741935483870969
112,5.089903225806451
113,1.492
114,1.4853870967741936
115,0.15751612903225806
116,1.4796129032258065
117,0.1562258064516129
118,0.15164516129032257
119,0.0021935483870967744
120,1.4929032258064516
121,0.15554838709677418
122,0.1514193548387097
123,0.0022580645161290325
124,0.155
125,0.0018387096774193548
126,0.002225806451612903
127,0.0
