,BER bits
0,0.0186675
1,0.0097195
2,0.00972
3,0.00492675
4,0.009643
5,0.0049965
6,0.00502675
7,0.002552
8,0.00971
9,0.004982
10,0.00500125
11,0.00256675
12,0.0049815
13,0.002506
14,0.00254225
15,0.00134
16,0.00969825
17,0.00495375
18,0.00494525
19,0.00253725
20,0.0049765
21,0.002522
22,0.00250875
23,0.00140475
24,0.00499525
25,0.00257
26,0.0025355
27,0.0013985
28,0.0025495
29,0.0014185
30,0.0013375
31,0.00183775
32,0.00965575
33,0.00497375
34,0.0049745
35,0.00253625
36,0.00495125
37,0.00255075
38,0.0025285
39,0.0013605
40,0.00495775
41,0.0025465
42,0.0025895
43,0.0013845
44,0.002548
45,0.00136475
46,0.00134175
47,0.00184325
48,0.004979
49,0.002593
50,0.00255575
51,0.001387
52,0.00254875
53,0.0014155
54,0.00137825
55,0.0017605
56,0.0025415
57,0.00142275
58,0.00136675
59,0.001629
60,0.001388
61,0.0014625
62,0.00076
63,0.00141525
64,0.00972125
65,0.005013
66,0.00497025
67,0.00259875
68,0.00496325
69,0.002612
70,0.00257125
71,0.00146425
72,0.00499975
73,0.00255975
74,0.00258975
75,0.0014485
76,0.002555
77,0.001491
78,0.00139075
79,0.0017855
80,0.005019
81,0.0025565
82,0.0025835
83,0.001481
84,0.00255675
85,0.0014365
86,0.00139775
87,0.0016565
88,0.00259225
89,0.001451
90,0.0014145
91,0.0015065
92,0.00141725
93,0.00133775
94,0.000749
95,0.00112725
96,0.004989
97,0.002671
98,0.00264725
99,0.00152825
100,0.0026465
101,0.00152775
102,0.00142875
103,0.0016295
104,0.00264525
105,0.001514
106,0.0014325
107,0.001359
108,0.00145075
109,0.00121125
110,0.00079825
111,0.0008985
112,0.00259525
113,0.0015995
114,0.00151675
115,0.001366
116,0.00142975
117,0.001043
118,0.000799
119,0.00072575
120,0.00129925
121,0.0011095
122,0.000759
123,0.000569
124,0.0006625
125,0.00046225
126,0.0003345
127,0.0001725
